,client_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,gendr_v
37919,735409,26.0,317.0,23.0,F,2.0,30106.95,2.0,5.0,2
37940,6849300,25.0,307.0,20.0,U,2.0,40873.66,0.0,3.0,0
38032,6194121,23.0,278.0,18.0,F,2.0,40186.42999999999,2.0,5.0,2
38035,1544212,21.0,260.0,20.0,F,3.0,150256.37,5.0,8.0,2
38044,1142049,25.0,302.0,24.5,M,3.0,56400.5,1.0,4.0,1
38155,3965651,28.0,343.0,26.5,U,2.0,40547.28,6.0,9.0,0
38390,1529368,26.0,322.0,22.0,F,2.0,34421.91,0.0,3.0,2
38430,3502301,43.0,526.0,33.5,M,2.0,25070.4,6.0,9.0,1
38432,9069966,25.0,301.0,19.5,F,2.0,45269.57,0.0,3.0,2
38645,6635759,20.0,245.0,18.5,M,2.0,32951.7,6.0,9.0,1
38717,8919279,26.0,322.0,21.5,F,2.0,31375.72,1.0,5.0,2
38747,2217905,34.0,409.0,30.5,F,2.0,52480.17999999999,6.0,9.0,2
38810,9289579,27.0,325.0,23.5,M,3.0,58561.14,6.0,9.0,1
38898,6905308,27.0,332.0,26.5,M,2.0,27971.95,1.0,4.0,1
39025,4834980,24.0,294.0,22.5,M,2.0,45987.53999999999,1.0,4.0,1
39065,4017497,22.0,268.0,20.5,M,4.0,44751.39,5.0,8.0,1
39105,9244582,22.0,269.0,19.0,M,3.0,36516.33,1.0,4.0,1
39153,8354242,30.0,364.0,25.0,U,2.0,31864.17,0.0,3.0,0
39166,9881248,26.0,313.0,21.5,M,3.0,56926.59,2.0,5.0,1
39293,3916056,24.0,288.0,23.5,M,2.0,54137.32,2.0,5.0,1
39366,761236,30.0,368.0,25.0,U,2.0,36362.63,4.0,7.0,0
39758,5477839,27.0,335.0,24.0,U,2.0,29398.82,1.0,4.0,0
39854,7345720,28.0,337.0,27.5,M,2.0,97103.37,0.0,3.0,1
39885,2064307,33.0,404.0,32.0,M,3.0,88531.51,4.0,7.0,1
39970,8975470,20.0,247.0,18.0,M,2.0,32816.88,0.0,3.0,1
40119,8880897,31.0,372.0,28.5,F,2.0,35848.5,0.0,3.0,2
40136,665986,27.0,325.0,24.0,U,2.0,227220.69,6.0,9.0,0
40224,2315149,21.0,254.0,19.5,F,3.0,37920.16,2.0,5.0,2
40293,898036,26.0,318.0,24.0,F,3.0,69100.61,3.0,6.0,2
40438,3265750,44.0,532.0,18.0,M,3.0,45575.97,3.0,6.0,1
40639,6716143,21.0,261.0,19.5,F,2.0,51483.06,5.0,8.0,2
40912,4250658,25.0,310.0,21.5,F,2.0,105404.02,0.0,3.0,2
41087,7783003,49.0,596.0,32.0,M,3.0,185097.01,5.0,8.0,1
41173,7416764,27.0,325.0,22.0,M,3.0,44047.53999999999,6.0,9.0,1
41217,9192456,23.0,279.0,18.5,F,2.0,43720.91,0.0,3.0,2
41250,7485585,30.0,365.0,25.5,M,3.0,96407.15,3.0,6.0,1
41267,2319496,48.0,576.0,42.5,M,3.0,260086.66,6.0,9.0,1
41287,4454345,24.0,290.0,18.5,F,3.0,472893.29,5.0,8.0,2
41393,7059525,25.0,311.0,20.5,M,2.0,49889.13,6.0,9.0,1
42087,3025507,48.0,581.0,45.0,M,3.0,104398.94,4.0,7.0,1
42723,6748504,33.0,398.0,31.0,M,2.0,28228.38,0.0,3.0,1
42888,1259336,36.0,439.0,26.5,M,2.0,54856.41,0.0,3.0,1
43197,5262516,21.0,253.0,20.5,M,3.0,46922.35,6.0,9.0,1
43420,9112416,23.0,287.0,22.0,U,2.0,27137.27,2.0,5.0,0
43768,4130407,24.0,298.0,21.5,M,2.0,70611.69,2.0,5.0,1
43960,5245678,22.0,275.0,19.5,M,2.0,29668.3,2.0,5.0,1
44216,5664150,22.0,271.0,21.0,F,3.0,166910.55,5.0,8.0,2
44336,3791844,23.0,277.0,20.5,M,3.0,53235.4,1.0,4.0,1
44496,5815034,21.0,262.0,20.0,M,2.0,28707.36,4.0,7.0,1
44498,4901739,21.0,254.0,18.5,M,2.0,25061.84,1.0,5.0,1
44529,3631010,32.0,392.0,29.5,M,2.0,68038.68,1.0,4.0,1
44709,3942971,23.0,279.0,17.5,M,3.0,80880.63,0.0,3.0,1
45023,7664605,24.0,294.0,22.5,M,2.0,592387.4800000001,5.0,8.0,1
45286,3856984,35.0,430.0,32.0,M,2.0,48735.13,5.0,8.0,1
45292,4313597,29.0,349.0,23.5,F,2.0,34406.92,5.0,8.0,2
45325,7714718,24.0,289.0,23.5,M,2.0,455275.47,1.0,4.0,1
45330,2320742,21.0,254.0,18.0,F,4.0,37910.39,2.0,5.0,2
45411,2432176,21.0,261.0,20.5,F,2.0,30153.08,3.0,6.0,2
45471,6109388,48.0,576.0,42.0,M,2.0,187007.29,5.0,8.0,1
45525,55333,30.0,362.0,27.5,M,2.0,50613.02,6.0,9.0,1
45844,6137907,31.0,372.0,29.0,M,2.0,141997.41999999998,4.0,7.0,1
45992,809012,32.0,387.0,26.5,M,2.0,99699.27,2.0,5.0,1
